Time Stamp;available_memory_MB;app_pss_MB;battery_level_percentage;battery_temperature_celcius;battery_current_now_milliamps;sensor_temperature_celcius;power_current;power_level_state;power_voltage;power_wattage;cpu_level;gpu_level;cpu_frequency_MHz;gpu_frequency_MHz;mem_frequency_MHz;minimum_vsyncs;extra_latency_mode;phase_sync_mode;average_frame_rate;display_refresh_rate;average_prediction_milliseconds;screen_tear_count;early_frame_count;stale_frame_count;maximum_rotational_speed_degrees_per_second;foveation_level;eye_buffer_width;eye_buffer_height;app_gpu_time_microseconds;timewarp_gpu_time_microseconds;guardian_gpu_time_microseconds;cpu_utilization_percentage;cpu_utilization_percentage_core0;cpu_utilization_percentage_core1;cpu_utilization_percentage_core2;cpu_utilization_percentage_core3;cpu_utilization_percentage_core4;cpu_utilization_percentage_core5;cpu_utilization_percentage_core6;cpu_utilization_percentage_core7;gpu_utilization_percentage;spacewarp_motion_vector_type;spacewarped_frames_per_second;app_vss_MB;app_rss_MB;app_dalvik_pss_MB;app_private_dirty_MB;app_private_clean_MB;app_uss_MB;stale_frames_consecutive;max_repeated_frames;avg_vertices_per_frame;avg_fill_percentage;avg_inst_per_frag;avg_inst_per_vert;avg_frag_inst_per_pixel;avg_vert_inst_per_pixel;avg_textures_per_frag;percent_time_shading_frags;percent_time_shading_verts;percent_time_compute;percent_vertex_fetch_stall;percent_texture_fetch_stall;percent_texture_l1_miss;percent_texture_l2_miss;percent_texture_nearest_filtered;percent_texture_linear_filtered;percent_texture_anisotropic_filtered;vrshell_average_frame_rate;vrshell_gpu_time_microseconds;vrshell_and_guardian_gpu_time_microseconds;render_scale;dynres_recommendation_percentage;dynres_recommendation_width;dynres_recommendation_height
14002;1549;1824;37;41;9999;0;1187;0;3681;4369;5;4;1478;525;2000;1;0;1;44;72;54;0;16;34;0;0;2304;2536;37166;3332;0;26;100;100;100;100;21;25;26;37;92;0;0;14759;1916;0;1712;93;1806;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
15002;1549;1824;37;41;9999;0;1278;0;3681;4704;5;4;1478;525;2000;1;0;1;21;72;77;0;8;60;0;0;2304;2536;34718;3355;0;17;100;100;100;100;13;17;17;41;87;0;0;14759;1916;0;1712;93;1806;27;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
16002;1549;1824;37;41;9999;0;1278;0;3681;4704;5;4;1478;525;2000;1;0;1;19;72;67;0;0;59;0;0;2304;2536;32134;3343;0;15;100;100;100;100;15;15;14;40;86;0;0;14759;1916;0;1712;93;1806;14;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
17003;1549;1824;37;41;9999;0;1301;0;3681;4788;5;4;1478;525;2000;1;0;1;19;72;67;0;0;59;0;0;2304;2536;28838;2714;0;13;98;100;100;100;10;13;11;26;86;0;0;14759;1916;0;1712;93;1806;11;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
18002;1549;1824;37;41;9999;0;1264;0;3681;4652;5;4;1478;525;2000;1;0;1;21;72;66;0;0;56;0;0;2304;2536;30330;2105;0;22;100;100;100;100;18;22;20;32;89;0;0;14759;1916;0;1712;93;1806;19;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
19025;1500;1810;37;41;9999;0;1350;0;3661;4942;5;4;1478;525;2000;1;0;1;24;72;61;0;0;53;0;0;2304;2536;30969;2092;0;23;99;99;100;100;23;21;22;26;90;0;0;15114;1896;0;1743;50;1793;8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
20002;1500;1810;37;41;9999;0;1347;0;3661;4931;5;4;1478;525;2000;1;0;1;23;72;62;0;0;57;0;0;2304;2536;59862;2096;0;25;100;100;100;100;25;19;25;31;94;0;0;15114;1896;0;1743;50;1793;8;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
21003;1500;1810;37;41;9999;0;1394;0;3656;5096;5;4;1478;525;2000;1;0;1;17;72;93;0;2;67;0;0;2304;2536;45817;2050;0;20;100;100;100;100;20;15;16;28;93;0;0;15114;1896;0;1743;50;1793;65;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
22003;1500;1810;37;41;9999;0;1138;0;3656;4160;5;4;1478;525;2000;1;0;1;16;72;83;1;0;61;0;0;2304;2536;45903;2103;0;31;100;100;100;100;29;28;31;63;92;0;0;15114;1896;0;1743;50;1793;26;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
23003;1500;1810;37;41;9999;0;1197;0;3656;4376;5;4;1478;525;2000;1;0;1;17;72;85;0;0;61;0;0;2304;2536;45761;1568;0;22;93;94;95;94;22;18;21;42;92;0;0;15114;1896;0;1743;50;1793;16;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;0;0;0
